ASX code,Company name,Security type,ISIN code
KAA01,K2AM,K2 INTERNATIONAL OPPORTUNITIES FUND,AU60KAM00076
KAB,KABOKO MINING LTD,ORDINARY FULLY PAID,AU000000KAB0
KABOA,KABOKO MINING LTD,OPTION EXPIRING 31-AUG-2016,AU0000KABOA9
KABAI,KABOKO MINING LTD,OPTION EXPIRING 15-JUL-2015 EX 3C,AU0000KABAI1
KABAK,KABOKO MINING LTD,OPTION EXPIRING 01-DEC-2014 EX 2.2C,AU0000KABAK7
KABAM,KABOKO MINING LTD,OPTION EXPIRING 01-DEC-2014 EX 2C,AU0000KABAM3
KABAO,KABOKO MINING LTD,OPTION EXPIRING 28-SEP-2015 EX 2C,AU0000KABAO9
KABAQ,KABOKO MINING LTD,OPTION EXPIRING 31-JAN-2016 EX 1C,AU0000KABAQ4
KABAS,KABOKO MINING LTD,OPTION EXPIRING 31-OCT-2016 EX 1C,AU0000KABAS0
KLR,KAILI RESOURCES LTD,125C ORDINARY FULLY PAID,BMG5220L1090
KIK,KAIRIKI ENERGY LTD,ORDINARY FULLY PAID,AU000000KIK4
KIKDA,KAIRIKI ENERGY LTD,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000KIKDA6
KIKN,KAIRIKI ENERGY LTD,ORDINARY FULLY PAID DEFERRED,AU00000KIKN2
KIKAK,KAIRIKI ENERGY LTD,OPTION EXPIRING 16-MAY-2014 EX $3.25,AU0000KIKAK1
KIKAM,KAIRIKI ENERGY LTD,OPTION EXPIRING 30-JUN-2015 EX 10C,AU0000KIKAM7
KGM,KALNORTH GOLD LTD,ORDINARY FULLY PAID,AU000000KGM4
KGMAI,KALNORTH GOLD LTD,OPTION EXPIRING 28-NOV-2014 EX 8C,AU0000KGMAI5
KPT,KANGAROO PLANTATION,ORDINARY FULLY PAID,AU000000KPT0
KPTNA,KANGAROO PLANTATION,ORDINARY FULLY PAID DEFERRED,AU0000KPTNA1
KPTR,KANGAROO PLANTATION,RIGHTS - APPLICATIONS CLOSE 18-APR-2013,AU00000KPTR9
KPTRA,KANGAROO PLANTATION,RIGHTS - APPLICATIONS CLOSE 24-APR-2014,AU0000KPTRA2
KRL,KANGAROO RES LTD,ORDINARY FULLY PAID,AU000000KRL3
KRLAK,KANGAROO RES LTD,WARRANT EXPIRING 01-JUL-2015 EX 13.3C,AU0000KRLAK0
KRLAQ,KANGAROO RES LTD,OPTION EXPIRING 02-SEP-2012 EX VARIOUS PRICES,AU0000KRLAQ7
KRLAM,KANGAROO RES LTD,OPTION EXPIRING 30-SEP-2012 EX VARIOUS PRICES,AU0000KRLAM6
KRLAS,KANGAROO RES LTD,OPTION EXPIRING 15-SEP-2012 EX 25C,AU0000KRLAS3
KAP01,KAPSTREAM CAPITAL,KAPSTREAM ABSOLUTE RETURN INCOME FUND ASX CLASS,AU0000KAP018
KAR,KAROON GAS AUSTRALIA,ORDINARY FULLY PAID,AU000000KAR6
KARAI,KAROON GAS AUSTRALIA,PERFORMANCE RIGHTS EXPIRING 29-NOV-2015,AU0000KARAI7
KARAQ,KAROON GAS AUSTRALIA,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000KARAQ0
KARAK,KAROON GAS AUSTRALIA,PERFORMANCE RIGHT EXPIRING 30-JUN-2016,AU0000KARAK3
KAS,KASBAH RESOURCES,ORDINARY FULLY PAID,AU000000KAS4
KASAO,KASBAH RESOURCES,OPTION EXPIRING 23-NOV-2015 DIRECTOR EX 26C,AU0000KASAO3
KASAS,KASBAH RESOURCES,OPTION EXPIRING 23-NOV-2015 MANAGEMENT EX 26C,AU0000KASAS4
KASAT,KASBAH RESOURCES,OPTION EXPIRING 27-NOV-2017 EX 12C,AU0000KASAT2
KASAI,KASBAH RESOURCES,OPTION EXPIRING 20-JUL-2015 EX 28C,AU0000KASAI5
KASAQ,KASBAH RESOURCES,OPTION EXPIRING 05-OCT-2015 EX 10C,AU0000KASAQ8
KAT,KATANA CAPITAL,ORDINARY FULLY PAID,AU000000KAT2
KATN,KATANA CAPITAL,ORDINARY FULLY PAID DEFERRED,AU00000KATN0
KATO,KATANA CAPITAL,OPTION EXPIRING 01-MAR-2016,AU00000KATO8
KMD,KATHMANDU HOLD LTD,ORDINARY FULLY PAID,NZKMDE0001S3
KMDAK,KATHMANDU HOLD LTD,PERFORMANCE RIGHTS,AU0000KMDAK8
KPC,KAZAKHSTAN CORP LTD,ORDINARY FULLY PAID,AU000000KPC6
KPCAI,KAZAKHSTAN CORP LTD,ORDINARY FULLY PAID RESTRICTED,AU0000KPCAI7
KPCAQ,KAZAKHSTAN CORP LTD,ORDINARY FULLY PAID RESTRICTED,AU0000KPCAQ0
KPCAA,KAZAKHSTAN CORP LTD,OPTION EXPIRING 30-JUN-2016 EX $2.00,AU0000KPCAA4
KPCAB,KAZAKHSTAN CORP LTD,OPTION EXPIRING 15-OCT-2016 EX 30C,AU0000KPCAB2
KPCAF,KAZAKHSTAN CORP LTD,OPTION EXPIRING 21-OCT-2016 EX 30C,AU0000KPCAF3
KPCAH,KAZAKHSTAN CORP LTD,OPTION EXPIRING 31-DEC-2015 EX 30C,AU0000KPCAH9
KPCAJ,KAZAKHSTAN CORP LTD,OPTION EXPIRING 07-JAN-2018 EX VARIOUS PRICES,AU0000KPCAJ5
KPCAK,KAZAKHSTAN CORP LTD,OPTION EXPIRING 19-JAN-2015 EX 30C,AU0000KPCAK3
KPCAM,KAZAKHSTAN CORP LTD,OPTION EXPIRING 27-JAN-2015 EX 30C,AU0000KPCAM9
KPCAO,KAZAKHSTAN CORP LTD,OPTION EXPIRING 02-MAR-2015 EX 30C,AU0000KPCAO5
KPCAS,KAZAKHSTAN CORP LTD,OPTION EXPIRING 25-JUN-2015 EX 30C,AU0000KPCAS6
KPCAZ,KAZAKHSTAN CORP LTD,OPTION EXPIRING 17-OCT-2016 EX 30C,AU0000KPCAZ1
KPCAC,KAZAKHSTAN CORP LTD,OPTION EXPIRING 25-NOV-2016 RESTRICTED EX 30C,AU0000KPCAC0
KPCAD,KAZAKHSTAN CORP LTD,OPTION EXPIRING 20-MAY-2016 RESTRICTED,AU0000KPCAD8
KPCAE,KAZAKHSTAN CORP LTD,CONVERTIBLE NOTE RESTRICTED 25-NOV-2017,AU0000KPCAE6
KPCAG,KAZAKHSTAN CORP LTD,CONVERTIBLE NOTE MAT. 25-NOV-2017,AU0000KPCAG1
KBL,KBL MINING LIMITED,ORDINARY FULLY PAID,AU000000KBL7
KBLGA,KBL MINING LIMITED,10% UNSEC RED CONV NOTE MAT. 05-AUG-2016,AU0000KBLGA2
KBLAI,KBL MINING LIMITED,OPTION EXPIRING 14-MAR-2020 EX 11C,AU0000KBLAI8
KBLAJ,KBL MINING LIMITED,OPTION EXPIRING 14-MAR-2020 EX 11C,AU0000KBLAJ6
KBLAM,KBL MINING LIMITED,OPTION EXPIRING 30-MAY-2015 EX 33.34C,AU0000KBLAM0
KBLAQ,KBL MINING LIMITED,OPTION EXPIRING 20-JUL-2015 EX 20C,AU0000KBLAQ1
KEY,KEY PETROLEUM,ORDINARY FULLY PAID,AU000000KEY4
KEYAI,KEY PETROLEUM,OPTION EXPIRING 06-AUG-2017 EX VARIOUS PRICES,AU0000KEYAI5
KEYAK,KEY PETROLEUM,PERFORMANCE RIGHT,AU0000KEYAK1
KEYAM,KEY PETROLEUM,OPTION EXPIRING 12-MAR-2017 EX 2.5C,AU0000KEYAM7
KBC,KEYBRIDGE CAPITAL,ORDINARY FULLY PAID,AU000000KBC6
KBCAI,KEYBRIDGE CAPITAL,ORDINARY SHARES FULLY PAID,AU0000KBCAI7
KFWHT,KFW,FRN MTN.MAT 10-NOV-2014 MIN.CONS.$5HT NON-CHESS,AU3FN0014478
KFWHE,KFW,5.75% MTN MAT.MAY-2015 MIN.CONS.$5HT NON-CHESS,AU0000KFWHE0
KFWHS,KFW,FRN MTN.MAT 19-JAN-2016 MIN.CONS.$5HT NON-CHESS,AU0000KFWHS0
KFWHP,KFW,6.00% MTN.MAT 19-JAN-2016 MIN.CONS.$5HT NON-CHESS,AU0000KFWHP6
KFWHH,KFW,5.5% MTN 25-JUL-2016 MIN.CONS.$5HT NON-CHESS,AU0000KFWHH3
KFWHK,KFW,6.00% MTN 28-MAR-2017 MIN.CONS.$5HT NON-CHESS,AU0000KFWHK7
KFWHV,KFW,3.75% MTN.MAT 10-AUG-2017 MIN.CONS.$5HT NON-CHESS,AU0000KFWHV4
KFWHQ,KFW,6.25% MTN.MAT 23-FEB-2018 MIN.CONS.$5HT NON-CHESS,AU0000KFWHQ4
KFWHW,KFW,3.75% MTN.MAT 18-JUL-2018 MIN.CONS.$5HT NON-CHESS,AU0000KFWHW2
KFWHY,KFW,4.00% MTN.MAT 16-JAN-2019 MIN.CONS.$5HT NON-CHESS,AU0000KFWHY8
KFWHZ,KFW,FRN MTN MAT 12-FEB-2019 MIN.CONS.$5HT NON-CHESS,AU0000KFWHZ5
KFWHN,KFW,6.25% MTN.MAT 04-DEC-2019 MIN.CONS.$5HT NON-CHESS,AU0000KFWHN1
KFWHAB,KFW,2.75% MTN MATURING 16 APR 2020 MIN CONS $5HT NC,AU000KFWHAB1
KFWHO,KFW,6.00% MTN MAT 20-AUG-2020 MIN.CONS. $5HT NON-CHESS,AU0000KFWHO9
KFWHR,KFW,6.25% MTN.MAT 19-MAY-2021 MIN.CONS.$5HT NON-CHESS,AU0000KFWHR2
KFWHU,KFW,5.50% MTN.MAT 09-FEB-2022 MIN.CONS$5HT NON-CHESS,AU0000KFWHU6
KFWHX,KFW,5.00% MTN.MAT 19-MAR-2024 MIN.CONS.$5HT NON-CHESS,AU0000KFWHX0
KFWHAA,KFW,4.00% MTN 27-FEB-2025 MIN.CONS.$5HT NON-CHESS,AU000KFWHAA3
KGL,KGL RESOURCES LTD,ORDINARY FULLY PAID,AU000000KGL6
KGLAA,KGL RESOURCES LTD,OPTION EXPIRING VAR.DATES EX VARIOUS PRICES,AU0000KGLAA4
KGLAB,KGL RESOURCES LTD,PERFORMANCE RIGHTS,AU0000KGLAB2
KNL,KIBARAN RESOURCES,ORDINARY FULLY PAID,AU000000KNL2
KNLO,KIBARAN RESOURCES,OPTION EXPIRING 05-AUG-2015,AU00000KNLO8
KNLAK,KIBARAN RESOURCES,PERFORMANCE SHARES,AU0000KNLAK9
KNLAQ,KIBARAN RESOURCES,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000KNLAQ6
KDR,KIDMAN RESOURCES LTD,ORDINARY FULLY PAID,AU000000KDR0
KDRAI,KIDMAN RESOURCES LTD,OPTION EXPIRING VARIOUS DATES EX 40C,AU0000KDRAI1
KDRAJ,KIDMAN RESOURCES LTD,PERFORMANCE RIGHTS,AU0000KDRAJ9
KRA,KILLARA RESOURCES,ORDINARY FULLY PAID,AU000000KRA6
KRAAU,KILLARA RESOURCES,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000KRAAU2
KRAAW,KILLARA RESOURCES,PERFORMANCE RIGHT,AU0000KRAAW8
KDL,KIM DIAMONDS LTD,ORDINARY FULLY PAID,AU000000KDL3
KDLN,KIM DIAMONDS LTD,ORDINARY FULLY PAID DEFERRED,AU00000KDLN1
KDLAI,KIM DIAMONDS LTD,OPTION EXPIRING 30-JUN-2015 EX 30C,AU0000KDLAI4
KDLAQ,KIM DIAMONDS LTD,OPTION EXPIRING 12-SEP-2015 EX 75C,AU0000KDLAQ7
KDLAS,KIM DIAMONDS LTD,OPTION EXPIRING 29-NOV-2015 EX $1.15,AU0000KDLAS3
KIN,KIN MIN NL,ORDINARY FULLY PAID,AU000000KIN8
KINN,KIN MIN NL,ORDINARY FULLY PAID DEFERRED,AU00000KINN6
KINAK,KIN MIN NL,ORDINARY FULLY PAID RESTRICTED,AU0000KINAK5
KINAM,KIN MIN NL,OPTION EXPIRING 31-JAN-2015 EX 30C,AU0000KINAM1
KPL,KINA PETROLEUM LTD,ORDINARY FULLY PAID,PG000A1JQGQ5
KPLAM,KINA PETROLEUM LTD,OPTION EXPIRING 20-DEC-2015 EX 50C,AU0000KPLAM0
KIP01,KINETIC FUND FIDANTE,KINETIC EMERGING COMPANIES FUND ASX CLASS,AU0000KIP011
KKO,KINETIKO ENERGY LTD,ORDINARY FULLY PAID,AU000000KKO2
KKOAI,KINETIKO ENERGY LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000KKOAI3
KIS,KING ISLAND,ORDINARY FULLY PAID,AU000000KIS7
KISDA,KING ISLAND,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000KISDA9
KISN,KING ISLAND,ORDINARY FULLY PAID DEFERRED,AU00000KISN5
KISAK,KING ISLAND,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000KISAK4
KRC,KING RIVER COPPER,ORDINARY FULLY PAID,AU000000KRC2
KRCO,KING RIVER COPPER,OPTION EXPIRING 30-JUN-2015,AU00000KRCO8
KRCAK,KING RIVER COPPER,OPTION EXPIRING 30-NOV-2017 EX 10C,AU0000KRCAK9
KRCAN,KING RIVER COPPER,OPTION EXPIRING 31-DEC-2014 EX 24C,AU0000KRCAN3
KRCAO,KING RIVER COPPER,OPTION EXPIRING 31-DEC-2014 EX 55C,AU0000KRCAO1
KRCAS,KING RIVER COPPER,OPTION EXPIRING 30-JUN-2015 EX 10C,AU0000KRCAS2
KRCAU,KING RIVER COPPER,OPTION EXPIRING 30-JUN-2019 EX 20C,AU0000KRCAU8
KSO,KING SOLOMON MINES,ORDINARY FULLY PAID,NZKSME0001S1
KSON,KING SOLOMON MINES,ORDINARY FULLY PAID DEFERRED,NZKSOE0002S5
KSOR,KING SOLOMON MINES,RIGHTS - APPLICATIONS CLOSE 12-NOV-2014,NZKSOE0001S7
KSOAM,KING SOLOMON MINES,OPTION EXPIRING 29-JUL-2016 EX 12C,AU0000KSOAM8
KFG,KINGFORM HEALTH HOME,ORDINARY FULLY PAID,AU000000KFG8
KCN,KINGSGATE CONSOLID.,ORDINARY FULLY PAID,AU000000KCN1
KCNAI,KINGSGATE CONSOLID.,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000KCNAI2
KCNAK,KINGSGATE CONSOLID.,DEFERRED RIGHTS,AU0000KCNAK8
KCNAM,KINGSGATE CONSOLID.,PERFORMANCE RIGHTS,AU0000KCNAM4
KCNAO,KINGSGATE CONSOLID.,ORDINARY FULLY PAID DEFERRED,AU0000KCNAO0
KRM,KINGSROSE MINING LTD,ORDINARY FULLY PAID,AU000000KRM1
KRMAB,KINGSROSE MINING LTD,OPTION EXPIRING 07-APRIL-2016 EX 55C,AU0000KRMAB7
KRMAJ,KINGSROSE MINING LTD,PERFORMANCE RIGHTS,AU0000KRMAJ0
KRMAK,KINGSROSE MINING LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000KRMAK8
KRMAM,KINGSROSE MINING LTD,OPTION EXPIRING 08-MAR-2015 EX 73C,AU0000KRMAM4
KRMAW,KINGSROSE MINING LTD,OPTION EXPIRING VARIOUS DATES EX $1.53,AU0000KRMAW3
KRMAY,KINGSROSE MINING LTD,OPTION EXPIRING 07-APR-2016 EX 47C,AU0000KRMAY9
KRMAZ,KINGSROSE MINING LTD,OPTION EXPIRING 11-AUG-2015 EX VARIOUS PRICES,AU0000KRMAZ6
KRMAA,KINGSROSE MINING LTD,OPTION EXPIRING 15-SEP-2015 EX 55C,AU0000KRMAA9
KRMAI,KINGSROSE MINING LTD,OPTION EXPIRING 14-FEB-2015 EX $1.27,AU0000KRMAI2
KRMAU,KINGSROSE MINING LTD,OPTION EXPIRING VARIOUS DATES EX $1.54,AU0000KRMAU7
KRMN,KINGSROSE MINING LTD,ORDINARY FULLY PAID DEFERRED,AU00000KRMN9
KSN,KINGSTON RESOURCES,ORDINARY FULLY PAID,AU000000KSN7
KSNN,KINGSTON RESOURCES,ORDINARY FULLY PAID DEFERRED,AU00000KSNN5
KSNR,KINGSTON RESOURCES,RIGHTS - APPLICATIONS CLOSE 09-DEC-2014,AU00000KSNR6
KSNO,KINGSTON RESOURCES,OPTION EXPIRING 31-DEC-2015,AU00000KSNO3
KSNOA,KINGSTON RESOURCES,OPTION EXPIRING 30-JUN-2016,AU0000KSNOA6
KSNAM,KINGSTON RESOURCES,ORDINARY FULLY PAID RESTRICTED,AU0000KSNAM0
KSNAQ,KINGSTON RESOURCES,OPTION EXPIRING 31-DEC-2015 RESTRICTED EX 20C,AU0000KSNAQ1
KME,KIP MCGRATH EDU.CNTR,ORDINARY FULLY PAID,AU000000KME9
KMEAO,KIP MCGRATH EDU.CNTR,OPTION EXPIRING 31-MAR-2016 EX 7.5C,AU0000KMEAO8
KMEAQ,KIP MCGRATH EDU.CNTR,OPTION EXPIRING 28-FEB-2018 EX 19C,AU0000KMEAQ3
KMEAR,KIP MCGRATH EDU.CNTR,OPTION EXPIRING 31-DEC-2019 EX 35C,AU0000KMEAR1
KFE,KOGI IRON LTD,ORDINARY FULLY PAID,AU000000KFE3
KFEN,KOGI IRON LTD,ORDINARY FULLY PAID DEFERRED,AU00000KFEN1
KFEO,KOGI IRON LTD,OPTION EXPIRING 31-MAY-2017,AU00000KFEO9
KFEAI,KOGI IRON LTD,ORDINARY FULLY PAID,AU0000KFEAI4
KKL,KOLLAKORN CORP LTD,ORDINARY FULLY PAID,AU000000KKL8
KKLAK,KOLLAKORN CORP LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000KKLAK5
KKLAS,KOLLAKORN CORP LTD,OPTION EXPIRING VARIOUS DATES EX 7.5C,AU0000KKLAS8
KKLAU,KOLLAKORN CORP LTD,15% SEC.RED.CONVERTIBLE NOTE MATURING 07-MAR-2016,AU0000KKLAU4
KKLAW,KOLLAKORN CORP LTD,SEC.RED.CONV.LOAN NOTE MATURING 03-SEP-2016,AU0000KKLAW0
KKT,KONEKT LIMITED,ORDINARY FULLY PAID,AU000000KKT1
KKTAJ,KONEKT LIMITED,OPTION EXPIRING 31-MAY-2018 EX $0.10,AU0000KKTAJ0
KKTAI,KONEKT LIMITED,OPTION EXPIRING 31-JAN-2017 EX 5C,AU0000KKTAI2
KNH,KOON HOLDINGS,CHESS DEPOSITARY INTEREST 1:1,AU000000KNH0
KOR,KORAB RESOURCES,ORDINARY FULLY PAID,AU000000KOR7
KORAA,KORAB RESOURCES,OPTION EXPIRING 28-NOV-2017 EX 10C,AU0000KORAA5
KOPHA,KOREA SE POWER LTD,5.75% MTN.MAT 25-SEP-2020 MIN.CONS. $5HT NC,AU0000KOPHA4
KOV,KORVEST LTD,ORDINARY FULLY PAID,AU000000KOV9
KOVAI,KORVEST LTD,PERFORMANCE RIGHTS,AU0000KOVAI0
KOS,KOSPI2 INX FUT KRX,KOSPI2 INX FUTURES (KRX),AU000000KOS5
KTA,KRAKATOA RESOURCES,ORDINARY FULLY PAID,AU000000KTA2
KTAO,KRAKATOA RESOURCES,OPTION EXPIRING 30-JUN-2015,AU00000KTAO8
KTAAN,KRAKATOA RESOURCES,OPTION EXPIRING 30-JUN-2015 EX 20C,AU0000KTAAN3
KRS,KRESTA HOLDINGS,ORDINARY FULLY PAID,AU000000KRS8
KRB,KRUCIBLE METALS LTD,ORDINARY FULLY PAID,AU000000KRB4
KRBO,KRUCIBLE METALS LTD,OPTION EXPIRING 23-JAN-2016,AU00000KRBO0
KRBAU,KRUCIBLE METALS LTD,OPTION EXPIRING 28-NOV-2015 EX 11.96C,AU0000KRBAU0
KRBAI,KRUCIBLE METALS LTD,OPTION EXPIRING 28-FEB-2015 EX 15C,AU0000KRBAI5
KRBAK,KRUCIBLE METALS LTD,OPTION EXPIRING 08-MAY-2015 EX 15C,AU0000KRBAK1
KTL,KTL TECHNOLOGIES LTD,ORDINARY FULLY PAID,AU000000KTL9
KTLAK,KTL TECHNOLOGIES LTD,OPTION EXPIRING 31-JUL-2016 EX 2.25C,AU0000KTLAK6
KTLAO,KTL TECHNOLOGIES LTD,OPTION EXPIRING 29-MAY-2011 EX 5C,AU0000KTLAO8
KGD,KULA GOLD LIMITED,ORDINARY FULLY PAID,AU000000KGD3
KGDN,KULA GOLD LIMITED,ORDINARY FULLY PAID DEFERRED,AU00000KGDN1
KGDYY,KULA GOLD LIMITED,CONDITIONAL PLACEMENT,AU0000KGDYY1
KGDAK,KULA GOLD LIMITED,OPTION EXPIRING 16-DEC-2016 EX $2.00,AU0000KGDAK0
KGDAM,KULA GOLD LIMITED,OPTION EXPIRING 25-JAN-2016 EX 48C,AU0000KGDAM6
KGDAQ,KULA GOLD LIMITED,OPTION EXPIRING 29-MAY-2016 EX 16.03C,AU0000KGDAQ7
KGDAZ,KULA GOLD LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000KGDAZ8
KGDAI,KULA GOLD LIMITED,OPTION EXPIRING 16-MAR-2016 EX $1.80,AU0000KGDAI4
KGDAO,KULA GOLD LIMITED,OPTION EXPIRING 01-DEC-2015 EX $1.80,AU0000KGDAO2
KGDAS,KULA GOLD LIMITED,OPTION EXPIRING 08-NOV-2018 EX 17C,AU0000KGDAS3
KNE,KUNENE RESOURCES LTD,ORDINARY FULLY PAID,AU000000KNE7
KNEO,KUNENE RESOURCES LTD,OPTION EXPIRING 07-AUG-2015,AU00000KNEO3
KNEAI,KUNENE RESOURCES LTD,OPTION EXPIRING 15-SEP-2016 EX 40C,AU0000KNEAI8
KNEAS,KUNENE RESOURCES LTD,CONVERTIBLE NOTES,AU0000KNEAS7
KPR,KUPANG RESOURCES,ORDINARY FULLY PAID,AU000000KPR4
KPRYY,KUPANG RESOURCES,CONDITIONAL PLACEMENT,AU0000KPRYY2
KPROA,KUPANG RESOURCES,OPTION EXPIRING 31-DEC-2010,AU0000KPROA3
LSA,LACHLAN STAR LTD,ORDINARY FULLY PAID,AU000000LSA2
LSAAI,LACHLAN STAR LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000LSAAI3
LCR,LACONIA RES LTD,ORDINARY FULLY PAID,AU000000LCR0
LCROA,LACONIA RES LTD,OPTION EXPIRING 30-SEP-2018,AU0000LCROA9
LCRAK,LACONIA RES LTD,PERFORMANCE SHARE,AU0000LCRAK7
LCRAM,LACONIA RES LTD,OPTION EXPIRING 30-SEP-2014 EX 19.87C,AU0000LCRAM3
LCRAN,LACONIA RES LTD,PERFORMANCE RIGHT,AU0000LCRAN1
LCRAO,LACONIA RES LTD,OPTION EXPIRING 30-SEP-2018 EX 1.4C,AU0000LCRAO9
LCRNA,LACONIA RES LTD,ORDINARY FULLY PAID DEFERRED,AU0000LCRNA1
LCRO,LACONIA RES LTD,OPTION EXPIRING 30-SEP-2018 DEFERRED,AU00000LCRO6
LKE,LAKE RESOURCES,ORDINARY FULLY PAID,AU000000LKE1
LKEN,LAKE RESOURCES,ORDINARY FULLY PAID DEFERRED,AU00000LKEN9
LKO,LAKES OIL NL,ORDINARY FULLY PAID,AU000000LKO0
LKOG,LAKES OIL NL,10% UNSEC RED CONV NOTE MAT. 30-NOV-2014,AU00000LKOG2
LKOAK,LAKES OIL NL,"ORDINARY PARTLY PAID TO 0.1C, 1.4C UNPAID",AU0000LKOAK7
LMB,LAMBOO RESOURCES,ORDINARY FULLY PAID,AU000000LMB3
LMBAM,LAMBOO RESOURCES,PERFORMANCE RIGHT,AU0000LMBAM6
LMBAO,LAMBOO RESOURCES,OPTION EXPIRING 15-AUG-2015 EX 15C,AU0000LMBAO2
LDM,LAND MIN EXPLORE LTD,ORDINARY FULLY PAID,AU000000LDM9
LMW,LANDMARK WHITE LTD,ORDINARY FULLY PAID,AU000000LMW9
LMWAA,LANDMARK WHITE LTD,OPTION EXPIRING 30-APR-2017 EX 46C,AU0000LMWAA7
LNY,LANEWAY RES LTD,ORDINARY FULLY PAID,AU000000LNY3
LNYCL,LANEWAY RES LTD,"ORDINARY PARTLY PAID TO 9.6C, 15.4C UNPAID",AU0000LNYCL4
LNYAA,LANEWAY RES LTD,CONVERTIBLE NOTES,AU0000LNYAA1
LNYN,LANEWAY RES LTD,ORDINARY FULLY PAID DEFERRED,AU00000LNYN1
LTN,LANTERN HOTEL GRP,UNITS/ORDINARY FULLY PAID STAPLED SECURITIES,AU000000LTN3
LTNAI,LANTERN HOTEL GRP,REDEEMABLE CONVERTIBLE NOTE,AU0000LTNAI4
LAM,LARAMIDE RES LTD,CHESS DEPOSITARY INTERESTS 1:1,AU000000LAM5
LAMXX,LARAMIDE RES LTD,INITIAL PUBLIC OFFERING,AU0000LAMXX7
LAMAI,LARAMIDE RES LTD,WARRANT EXPIRING 14-AUG-2016 EX C$0.75,AU0000MKBAB1
LAMAO,LARAMIDE RES LTD,OPTION EXPIRING 15-SEP-2014 EX C$1.20,AU0000LAMAO4
LAMAQ,LARAMIDE RES LTD,WARRANT EXPIRING 31-DEC-2015 EX C$1.35,AU0000LAMAQ9
LAMAU,LARAMIDE RES LTD,WARRANT EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000LAMAU1
LAMAW,LARAMIDE RES LTD,OPTION EXPIRING 28-FEB-2016 EX C75C,AU0000LAMAW7
LAMAS,LARAMIDE RES LTD,CONVERTIBLE NOTE MATURING 14-FEB-2015,AU0000LAMAS5
LBL,LASERBOND LIMITED,ORDINARY FULLY PAID,AU000000LBL5
LAS,LASSETERS CORP.,ORDINARY FULLY PAID,AU000000LAS2
LASAI,LASSETERS CORP.,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000LASAI3
LASAO,LASSETERS CORP.,OPTION EXPIRING 30-MAR-2010 EX $5.00,AU0000LASAO1
LAA,LATAM AUTOS LTD,ORDINARY FULLY PAID,AU000000LAA0
LAAZZ,LATAM AUTOS LTD,INITIAL PUBLIC OFFER,AU0000LAAZZ2
LAAAA,LATAM AUTOS LTD,ORDINARY FULLY PAID RESTRICTED,AU0000LAAAA8
LAAAB,LATAM AUTOS LTD,ORDINARY FULLY PAID RESTRICTED,AU0000LAAAB6
LRS,LATIN RESOURCES LTD,ORDINARY FULLY PAID,AU000000LRS6
LRSAI,LATIN RESOURCES LTD,OPTION EXPIRING 25-JUN-2015 EX 30C,AU0000LRSAI7
LRSAS,LATIN RESOURCES LTD,INCENTIVE RIGHTS,AU0000LRSAS6
LRSAU,LATIN RESOURCES LTD,OPTION EXPIRING 01-DEC-2017 EX 4.61C,AU0000LRSAU2
LRSAK,LATIN RESOURCES LTD,12% UNSEC.RED.CONV.NOTE MATURING 31-JUL-2015,AU0000LRSAK3
LRSAT,LATIN RESOURCES LTD,CONVERTIBLE NOTE MATURING 01-JUN-2016,AU0000LRSAT4
LCD,LATITUDE CONSOLIDATE,ORDINARY FULLY PAID,AU000000LCD0
LCDDA,LATITUDE CONSOLIDATE,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000LCDDA2
LCDAA,LATITUDE CONSOLIDATE,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000LCDAA8
LMG,LATROBE MAGNESIUM,ORDINARY FULLY PAID,AU000000LMG2
LMGAA,LATROBE MAGNESIUM,CONVERTIBLE NOTES,AU0000LMGAA0
LSN,LAWSON GOLD LTD,ORDINARY FULLY PAID,AU000000LSN5
LSNN,LAWSON GOLD LTD,ORDINARY FULLY PAID DEFERRED,AU00000LSNN3
LSNAI,LAWSON GOLD LTD,OPTION EXPIRING 05-AUG-2015 EX 40C,AU0000LSNAI6
LSNAK,LAWSON GOLD LTD,OPTION EXPIRING 05-AUG-2015 EX 30C,AU0000LSNAK2
LBT,LBT INNOVATIONS,ORDINARY FULLY PAID,AU000000LBT8
LBTAI,LBT INNOVATIONS,OPTION EXPIRING 06-JAN-2019 EX 16.5C,AU0000LBTAI9
